"mc","theta","sensit","resCri","f","h","r1_c","r1_m","r0_c","r0_m","goodPar"
36,165,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
42,165,0.22214758,-2.824125679,0.996666667,0.998333333,300,299,0,1,"bad"
48,165,1.257128951,-2.306634994,0.953333333,0.998333333,300,286,0,14,"bad"
54,165,1.573628535,-2.148385201,0.913333333,0.998333333,300,274,0,26,"bad"
60,165,1.546596526,-1.701441386,0.823333333,0.993333333,298,247,2,53,"bad"
66,165,1.488449488,-1.472138035,0.766666667,0.986666667,296,230,4,70,"bad"
72,165,1.30173391,-1.027203563,0.646666667,0.953333333,286,194,14,106,"bad"
78,165,1.191946237,-0.704808156,0.543333333,0.903333333,271,163,29,137,"good"
84,165,1.100500432,-0.390824314,0.436666667,0.826666667,248,131,52,169,"good"
90,165,0.87108156,-0.032158019,0.343333333,0.68,204,103,96,197,"bad"
96,165,0.659665896,0.262939673,0.276666667,0.526666667,158,83,142,217,"bad"
102,165,0.265133581,0.628417138,0.223333333,0.31,93,67,207,233,"bad"
108,165,-0.062464938,0.896910654,0.193333333,0.176666667,53,58,247,242,"bad"
114,165,-0.152745405,1.09861409,0.153333333,0.12,36,46,264,254,"bad"
120,165,-0.183404134,1.336153854,0.106666667,0.076666667,23,32,277,268,"bad"
6,180,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,180,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
18,180,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
24,180,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
30,180,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
36,180,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
42,180,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
48,180,0.608851595,-2.630773671,0.99,0.998333333,300,297,0,3,"bad"
54,180,1.184513398,-2.34294277,0.96,0.998333333,300,288,0,12,"bad"
60,180,1.351480954,-2.037311411,0.913333333,0.996666667,299,274,1,26,"bad"
66,180,1.246028533,-1.703333607,0.86,0.99,297,258,3,42,"bad"
72,180,1.239443537,-1.369591222,0.773333333,0.976666667,293,232,7,68,"bad"
78,180,1.117508047,-1.054604371,0.69,0.946666667,284,207,16,93,"bad"
84,180,0.939505115,-0.688731223,0.586666667,0.876666667,263,176,37,124,"bad"
90,180,0.730491324,-0.373601187,0.503333333,0.77,231,151,69,149,"bad"
96,180,0.535277028,-0.099744509,0.433333333,0.643333333,193,130,107,170,"bad"
102,180,0.27709149,0.255789787,0.346666667,0.453333333,136,104,164,196,"bad"
108,180,-0.050261059,0.607972037,0.28,0.263333333,79,84,221,216,"bad"
114,180,-0.078507956,0.767167269,0.233333333,0.21,63,70,237,230,"bad"
120,180,-0.128779699,0.930068034,0.193333333,0.16,48,58,252,242,"bad"
