mc,theta,sensit,resCri,f,h,r1_c,r1_m,r0_c,r0_m
30,255,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
36,255,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
42,255,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
48,255,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
54,255,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
60,255,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
66,255,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
72,255,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
78,255,0.386704014,-2.519699881,0.99,0.996666667,299,297,1,3
84,255,0.148391775,-2.400543762,0.99,0.993333333,298,297,2,3
90,255,0,-1.989312991,0.976666667,0.976666667,293,293,7,7
96,255,0.072615553,-1.714378295,0.953333333,0.96,288,286,12,14
102,255,0.076052617,-1.282478095,0.893333333,0.906666667,272,268,28,32
108,255,-0.137647731,-0.898597701,0.833333333,0.796666667,239,250,61,50
114,255,-0.154415184,-0.535605399,0.73,0.676666667,203,219,97,81
120,255,-0.089425397,-0.367750431,0.66,0.626666667,188,198,112,102
6,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
12,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
18,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
24,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
30,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
36,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
42,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
48,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
54,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
60,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
66,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
72,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
78,270,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
84,270,-0.22214758,-2.824125679,0.998333333,0.996666667,299,300,1,0
90,270,-0.238312239,-2.593895769,0.996666667,0.993333333,298,299,2,1
96,270,-0.195833142,-2.030128663,0.983333333,0.973333333,292,295,8,5
102,270,-0.090080032,-1.599813611,0.95,0.94,282,285,18,15
108,270,-0.225085905,-1.207961451,0.906666667,0.863333333,259,272,41,28
114,270,-0.172512958,-0.881165087,0.833333333,0.786666667,236,250,64,50
120,270,-0.164764152,-0.645531215,0.766666667,0.713333333,214,230,86,70
